cell_barcode,ncounts,hash_umis,pval_demultiplexing,qval_demultiplexing,top_to_second_best_ratio,top_oligo,perturbation,dose_value,well,celltype,cell_line,cancer,disease,tissue_type,organism,perturbation_type,ngenes,percent_mito,percent_ribo,nperts,chembl-ID,dose_value_num,is_control,treatment_group,n_genes
A07_B02_RT_635,2175,6.0,1.73806301034402e-16,3.99754492379124e-15,1.00572519083969,BMS_100_AG01,BMS,100,AG01,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1417,3.1264367,0.3218391,1,,100.0,False,BMS,1417
A08_A01_RT_767,1842,227.0,0.0,0.0,3.08937066209155,BMS_100_BG09,BMS,100,BG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1218,10.423452,2.8230186,1,,100.0,False,BMS,1218
A08_B02_RT_431,1269,69.0,0.0,0.0,97.1649214659686,BMS_10_AG11,BMS,10,AG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,821,16.706068,5.9101653,1,,10.0,False,BMS,821
A08_B02_RT_497,1265,4.0,0.0006634109822125,0.0019902329466377,1.00734618916437,BMS_50_BG02,BMS,50,BG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,944,2.450593,0.15810277,1,,50.0,False,BMS,944
A08_B02_RT_503,1063,2.0,1.45578019724439e-63,3.0571384142132097e-62,1.01095890410959,BMS_10_AG11,BMS,10,AG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,802,3.2925682,0.56444025,1,,10.0,False,BMS,802
A08_B02_RT_662,8192,538.0,0.0,0.0,8.76239017023613,BMS_50_BH06,BMS,50,BH06,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3638,10.424805,1.2207031,1,,50.0,False,BMS,3638
A09_A01_RT_397,5547,225.0,0.0,0.0,51.2256097560976,BMS_10_BH07,BMS,10,BH07,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,3107,7.4995494,3.0827475,1,,10.0,False,BMS,3107
A09_A01_RT_404,1861,358.0,0.0,0.0,3.24421412544075,BMS_50_AH06,BMS,50,AH06,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1098,8.3288555,7.415368,1,,50.0,False,BMS,1098
A09_B02_RT_552,1367,49.0,0.0,0.0,43.9117117117117,BMS_10_BG11,BMS,10,BG11,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,944,5.6327724,4.535479,1,,10.0,False,BMS,944
A09_B02_RT_624,2950,589.0,0.0,0.0,21.4178465112902,BMS_50_AG02,BMS,50,AG02,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1782,10.711864,1.661017,1,,50.0,False,BMS,1782
A10_A01_RT_470,1995,864.0,0.0,0.0,642.831295843521,BMS_50_AG10,BMS,50,AG10,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1337,8.87218,0.85213035,1,,50.0,False,BMS,1337
A10_B02_RT_396,1242,13.0,0.0208709482528519,0.229580430781371,1.02719665271967,BMS_100_AH05,BMS,100,AH05,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,933,4.1867957,0.80515295,1,,100.0,False,BMS,933
A10_B02_RT_476,1011,6.0,1.06244621731057e-09,2.01864781289009e-08,1.00610376398779,BMS_100_BH05,BMS,100,BH05,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,758,5.341246,0.5934718,1,,100.0,False,BMS,758
A11_B02_RT_390,2553,63.0,0.0,0.0,57.3773195876289,BMS_10_AG03,BMS,10,AG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1498,8.068938,4.151978,1,,10.0,False,BMS,1498
A11_B02_RT_504,2046,26.0,0.0,0.0,19.9748305905131,BMS_10_BG03,BMS,10,BG03,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,1363,5.718475,3.6656892,1,,10.0,False,BMS,1363
A11_B02_RT_506,13876,3809.0,0.0,0.0,3661.38044530494,BMS_100_AG09,BMS,100,AG09,alveolar basal epithelial cells,A549,True,lung adenocarcinoma,cell_line,human,drug,5075,14.161141,1.3764774,1,,100.0,False,BMS,5075
