names,scores,logfoldchanges,pvals,pvals_adj,perturbation_label,compound,direction
ZNF48,3.3812249,1.626733,0.0007216348816713376,0.00350345884474942,SAHA,Vorinostat,up
PYGL,3.380487,0.471996,0.0007235752663150077,0.0035122774746205354,SAHA,Vorinostat,up
GAB2,3.3799703,0.59153175,0.000724936418321926,0.00351767949013814,SAHA,Vorinostat,up
SMARCC2,3.3793063,0.82150847,0.0007266899661669814,0.0035249812155494554,SAHA,Vorinostat,up
DPCD,3.378716,2.9904017,0.0007282519824605496,0.003531953564772729,SAHA,Vorinostat,up
ZNF480,3.377314,0.6088517,0.0007319742798308054,0.0035487916410342794,SAHA,Vorinostat,up
GNPDA1,3.377314,1.0181253,0.0007319742798308054,0.0035487916410342794,SAHA,Vorinostat,up
FOSL1,3.3760598,0.8873897,0.0007353197289137283,0.0035644013817922055,SAHA,Vorinostat,up
MRPL44,3.3753219,1.4684894,0.0007372942687085784,0.003573361550652248,SAHA,Vorinostat,up
CHD3,3.375248,0.5992062,0.0007374919933141101,0.0035737086365484356,SAHA,Vorinostat,up
AL731577.2,3.3747315,0.89387846,0.0007388774451647029,0.003579810060023483,SAHA,Vorinostat,up
SLC41A1,3.3734033,1.9799527,0.0007424511436569097,0.0035965094887093173,SAHA,Vorinostat,up
TSPAN15,3.3731081,0.40392286,0.0007432474758859183,0.00359975166153737,SAHA,Vorinostat,up
BIRC2,3.3705995,0.8246845,0.0007500483980429071,0.0036320696349521364,SAHA,Vorinostat,up
ZNF385B,3.3698616,1.7633438,0.0007520596403074825,0.0036411867567116758,SAHA,Vorinostat,up
SLC35A5,3.367943,1.3197149,0.000757312332407896,0.003665991950081134,SAHA,Vorinostat,up
MAGED2,3.3677955,0.9578339,0.000757717793404366,0.0036673282373173226,SAHA,Vorinostat,up
CDCA5,3.3672051,3.4829738,0.0007593416539477411,0.0036745600733557185,SAHA,Vorinostat,up
NOP9,3.3668363,3.543944,0.0007603582070975312,0.003678851096590377,SAHA,Vorinostat,up
GTF2H1,3.3667624,0.79102707,0.0007605616693008709,0.0036792073377685352,SAHA,Vorinostat,up
SLC11A2,3.3650653,0.43905568,0.0007652552753025708,0.003700649145311306,SAHA,Vorinostat,up
UBE2J2,3.3640323,1.503834,0.0007681254050702436,0.003713894852223266,SAHA,Vorinostat,up
CHCHD1,3.3628519,1.9234754,0.000771417789568715,0.003729177297986736,SAHA,Vorinostat,up
HEATR6,3.3621876,0.5327809,0.0007732755084576542,0.003736245755954476,SAHA,Vorinostat,up
SSBP4,3.3608594,2.2350504,0.0007770034122168425,0.0037529781311404268,SAHA,Vorinostat,up
MGAT4A,3.3607118,1.8538015,0.0007774186519969365,0.003754343858263324,SAHA,Vorinostat,up
ZNF787,3.3601217,1.1972729,0.000779081671962326,0.003761733927426886,SAHA,Vorinostat,up
CSAD,3.35931,0.8689823,0.0007813737168973693,0.003772158158336908,SAHA,Vorinostat,up
KIF2C,3.3590887,1.2846605,0.0007819999055151632,0.0037745381234012424,SAHA,Vorinostat,up
ZNF138,3.3582032,0.961378,0.0007845093210473474,0.0037860056437056763,SAHA,Vorinostat,up
RILPL1,3.3570225,0.44412974,0.0007878668363970831,0.0038015614523787744,SAHA,Vorinostat,up
HSPB11,3.3555467,1.0637094,0.0007920824860346811,0.003819951240512388,SAHA,Vorinostat,up
NDUFS3,3.3555467,1.3350775,0.0007920824860346811,0.003819951240512388,SAHA,Vorinostat,up
SYT14,3.355473,1.9982591,0.0007922938170748854,0.0038203202634453128,SAHA,Vorinostat,up
FHOD3,3.3550303,0.89864516,0.0007935629026622601,0.0038257886246415664,SAHA,Vorinostat,up
SLC29A4,3.3543663,3.0895028,0.0007954700689102515,0.0038343308067322174,SAHA,Vorinostat,up
TMEM206,3.3540711,1.07989,0.0007963190630356179,0.003837770341548187,SAHA,Vorinostat,up
NOB1,3.3539236,1.7374533,0.0007967438753801236,0.0038391647577830203,SAHA,Vorinostat,up
KDM2B,3.3535545,1.4972551,0.0007978068265739693,0.0038429797469748668,SAHA,Vorinostat,up
IRAK2,3.3508244,1.2432604,0.0008057136635802573,0.0038797474593946185,SAHA,Vorinostat,up
ZC3H10,3.3506768,2.7029586,0.0008061431248104741,0.0038811559413658198,SAHA,Vorinostat,up
TMEM263,3.3486109,0.44798258,0.000812177928675171,0.003908882157404381,SAHA,Vorinostat,up
KSR2,3.3482418,1.099802,0.0008132599732861797,0.003913425220408179,SAHA,Vorinostat,up
JTB,3.3481681,1.667088,0.0008134765426556105,0.003913802761591628,SAHA,Vorinostat,up
THAP5,3.3465447,1.0618443,0.0008182546282858591,0.003934786977153348,SAHA,Vorinostat,up
MRPS9,3.3465447,0.3018145,0.0008182546282858591,0.003934786977153348,SAHA,Vorinostat,up
P2RX4,3.3456593,1.6963031,0.0008208718189004782,0.003946702681371182,SAHA,Vorinostat,up
TTN-AS1,3.3445525,0.4243349,0.0008241542286866475,0.003961812134439731,SAHA,Vorinostat,up
MLLT1,3.344405,2.5984204,0.0008245928021870272,0.003963248105219806,SAHA,Vorinostat,up
H2AFX,3.3439622,2.7387807,0.0008259098221419875,0.003968232034564198,SAHA,Vorinostat,up
MRPL49,3.3421175,1.9737682,0.0008314184379878539,0.003993345033169458,SAHA,Vorinostat,up
CHMP4A,3.3421175,3.3166578,0.0008314184379878539,0.003993345033169458,SAHA,Vorinostat,up
SCCPDH,3.3410845,0.89129275,0.0008345181307488822,0.004007553768710697,SAHA,Vorinostat,up
SNX30,3.3390186,0.72141,0.0008407497003705313,0.0040367951557268925,SAHA,Vorinostat,up
PNKD,3.338797,1.3109396,0.0008414199222942759,0.004039328774856038,SAHA,Vorinostat,up
SLC2A8,3.3387234,2.5632389,0.0008416434397038854,0.004039717444838872,SAHA,Vorinostat,up
PDZD2,3.3376904,1.1705773,0.0008447784715614001,0.004054078294175607,SAHA,Vorinostat,up
ZNF586,3.3356981,0.78513145,0.0008508552120625201,0.004082549102510615,SAHA,Vorinostat,up
TPCN2,3.3349602,1.6021688,0.000853116125930995,0.0040927043806725134,SAHA,Vorinostat,up
ZNF703,3.3348863,2.5094185,0.0008533425234866541,0.004093097567800407,SAHA,Vorinostat,up
TDRD7,3.3334844,0.8489368,0.0008576546775006194,0.004111693156997556,SAHA,Vorinostat,up
