cell_id,UMAP_1,UMAP_2,leiden,treatment_group,perturbation,dose_value,percent_mito,ngenes,cell_line,disease
B01_B02_RT_497,2.4160166,8.216954,1,BMS,BMS,100.0,2.0645845,1303,A549,lung adenocarcinoma
B01_B02_RT_590,8.5997925,3.9236135,4,BMS,BMS,10.0,6.000654,3067,A549,lung adenocarcinoma
B02_A01_RT_521,9.020465,-2.0194163,0,BMS,BMS,10.0,9.669811,869,A549,lung adenocarcinoma
B02_A01_RT_701,1.5161772,8.190146,1,BMS,BMS,50.0,5.11811,897,A549,lung adenocarcinoma
B02_A01_RT_749,7.4908543,1.9407649,0,BMS,BMS,50.0,9.064969,3948,A549,lung adenocarcinoma
B03_A01_RT_390,9.316454,-2.4330733,0,BMS,BMS,10.0,7.751938,910,A549,lung adenocarcinoma
B03_A01_RT_401,7.4691224,0.61603373,0,BMS,BMS,10.0,11.412487,2185,A549,lung adenocarcinoma
B03_A01_RT_527,4.51118,3.872003,5,BMS,BMS,50.0,6.497834,1750,A549,lung adenocarcinoma
B03_A01_RT_670,3.2282739,0.57405424,3,BMS,BMS,50.0,12.702473,2345,A549,lung adenocarcinoma
B03_B02_RT_745,9.165248,-1.2760066,0,BMS,BMS,10.0,6.351414,1358,A549,lung adenocarcinoma
B04_A01_RT_393,7.7845993,-0.94197124,0,BMS,BMS,10.0,11.179698,986,A549,lung adenocarcinoma
B04_A01_RT_498,9.557933,-2.4112697,0,BMS,BMS,10.0,6.6063976,895,A549,lung adenocarcinoma
B04_A01_RT_583,5.296519,3.3175528,5,BMS,BMS,50.0,6.5287914,2605,A549,lung adenocarcinoma
B04_A01_RT_622,6.4958286,-0.45949474,3,BMS,BMS,10.0,5.2654047,3457,A549,lung adenocarcinoma
B04_A01_RT_651,8.188813,0.41007113,0,BMS,BMS,10.0,3.7949016,2117,A549,lung adenocarcinoma
B04_A01_RT_720,8.839264,-1.3443409,0,BMS,BMS,10.0,7.7922077,1095,A549,lung adenocarcinoma
B04_B02_RT_472,8.660633,-1.6575923,0,BMS,BMS,10.0,8.821105,788,A549,lung adenocarcinoma
B04_B02_RT_711,8.144418,0.29693756,0,BMS,BMS,10.0,8.507223,1535,A549,lung adenocarcinoma
B04_B02_RT_764,7.0366874,1.6011227,0,BMS,BMS,100.0,10.3930235,3809,A549,lung adenocarcinoma
B05_A01_RT_448,9.11139,-1.874658,0,BMS,BMS,10.0,8.310249,1176,A549,lung adenocarcinoma
B05_A01_RT_566,9.584143,-1.4549922,0,BMS,BMS,10.0,8.724244,1303,A549,lung adenocarcinoma
B05_A01_RT_586,5.007043,3.5832398,5,BMS,BMS,50.0,7.5391183,1982,A549,lung adenocarcinoma
B05_B02_RT_432,0.9617459,7.226635,1,BMS,BMS,100.0,5.05618,892,A549,lung adenocarcinoma
B05_B02_RT_485,8.163981,-0.4511958,0,BMS,BMS,10.0,7.4534163,1344,A549,lung adenocarcinoma
B05_B02_RT_705,12.782139,4.2796993,4,BMS,BMS,50.0,6.07606,3323,A549,lung adenocarcinoma
B06_A01_RT_402,-1.6062658,9.385103,1,BMS,BMS,100.0,3.4508626,897,A549,lung adenocarcinoma
B06_A01_RT_497,0.7631046,9.526648,1,BMS,BMS,100.0,2.3622048,752,A549,lung adenocarcinoma
B06_A01_RT_575,0.12220585,8.232505,1,BMS,BMS,100.0,3.4511786,881,A549,lung adenocarcinoma
B06_A01_RT_619,0.7419211,7.3134513,1,BMS,BMS,100.0,6.857143,760,A549,lung adenocarcinoma
B06_A01_RT_635,1.7426984,7.0987544,1,BMS,BMS,100.0,2.9707956,1268,A549,lung adenocarcinoma
B06_A01_RT_752,0.33104488,8.046508,1,BMS,BMS,100.0,6.3538613,704,A549,lung adenocarcinoma
B06_A01_RT_755,3.521383,5.3935575,0,BMS,BMS,100.0,6.343042,1209,A549,lung adenocarcinoma
B06_B02_RT_702,7.8430123,-1.2536927,0,BMS,BMS,10.0,5.270363,1062,A549,lung adenocarcinoma
B07_A01_RT_519,3.6995115,5.527854,0,BMS,BMS,100.0,5.705329,1240,A549,lung adenocarcinoma
B07_A01_RT_568,3.6184661,0.3196942,3,BMS,BMS,50.0,3.201423,2393,A549,lung adenocarcinoma
B07_A01_RT_725,8.536661,4.077514,4,BMS,BMS,50.0,9.647108,2429,A549,lung adenocarcinoma
B07_A01_RT_756,4.7958007,3.6787336,5,BMS,BMS,100.0,10.345932,1801,A549,lung adenocarcinoma
B07_B02_RT_438,9.352358,3.5307636,4,BMS,BMS,50.0,6.7937636,4890,A549,lung adenocarcinoma
B07_B02_RT_499,1.3153632,6.9613914,1,BMS,BMS,50.0,4.895105,717,A549,lung adenocarcinoma
B07_B02_RT_629,-0.8675125,8.159138,1,BMS,BMS,50.0,2.4880383,736,A549,lung adenocarcinoma
B07_B02_RT_676,0.9440073,8.548861,1,BMS,BMS,10.0,1.9638649,822,A549,lung adenocarcinoma
B07_B02_RT_710,2.7812283,7.950848,1,BMS,BMS,50.0,6.5764923,1358,A549,lung adenocarcinoma
B08_B02_RT_619,-0.336748,7.7663903,1,BMS,BMS,100.0,8.728653,752,A549,lung adenocarcinoma
B09_A01_RT_424,0.1377134,7.205151,1,BMS,BMS,50.0,2.5914633,968,A549,lung adenocarcinoma
B09_A01_RT_539,4.7569957,3.2398005,5,BMS,BMS,10.0,7.529743,3095,A549,lung adenocarcinoma
B09_A01_RT_686,7.6030874,2.119618,0,BMS,BMS,50.0,13.249746,2839,A549,lung adenocarcinoma
B09_A01_RT_710,1.6112211,6.9227285,1,BMS,BMS,50.0,6.1837454,816,A549,lung adenocarcinoma
B09_A01_RT_730,6.9678764,0.8044214,0,BMS,BMS,100.0,14.027709,2288,A549,lung adenocarcinoma
B09_B02_RT_401,9.272263,-1.5770916,0,BMS,BMS,10.0,10.547743,1447,A549,lung adenocarcinoma
B09_B02_RT_682,9.434445,-1.8989352,0,BMS,BMS,10.0,9.38743,784,A549,lung adenocarcinoma
B09_B02_RT_709,7.5102715,-0.8998408,0,BMS,BMS,10.0,8.801341,851,A549,lung adenocarcinoma
B10_B02_RT_397,1.2737364,8.195639,1,BMS,BMS,100.0,5.0445104,1441,A549,lung adenocarcinoma
B10_B02_RT_444,9.009218,-1.3242044,0,BMS,BMS,10.0,7.367514,1354,A549,lung adenocarcinoma
B10_B02_RT_513,0.89991426,6.748792,1,BMS,BMS,50.0,3.690987,825,A549,lung adenocarcinoma
B10_B02_RT_529,9.003601,-1.5982804,0,BMS,BMS,10.0,6.1167,1439,A549,lung adenocarcinoma
B10_B02_RT_706,7.4628463,0.7847611,0,BMS,BMS,10.0,10.336208,3463,A549,lung adenocarcinoma
B10_B02_RT_708,9.464856,-2.446089,0,BMS,BMS,10.0,8.878049,649,A549,lung adenocarcinoma
B10_B02_RT_745,0.8896481,8.508015,1,BMS,BMS,50.0,7.5173097,733,A549,lung adenocarcinoma
B11_A01_RT_397,0.09164645,8.279379,1,BMS,BMS,50.0,5.882353,855,A549,lung adenocarcinoma
