group,names,scores,logfoldchanges,pvals,pvals_adj
0,RHOB,10.289237,,7.879800026084877e-25,1.459222227052755e-23
0,DNAJB4,10.197336,,2.037846944386226e-24,3.712423901037828e-23
0,MZB1,10.197146,,2.0418331455708054e-24,3.712423901037828e-23
0,DEPP1,10.081214,,6.689422313570262e-24,1.2053013177604077e-22
0,SOCS2,10.014958,,1.3101714131056602e-23,2.3395918091172503e-22
0,SH3BGRL3,9.978777,,1.8877930134833323e-23,3.3412265725368714e-22
0,BTG1,9.8208885,,9.153281575457795e-23,1.6058388728873325e-21
0,TPM4,9.73076,,2.22921481936088e-22,3.8434738264842755e-21
0,FOS,9.31753,,1.1908025899155055e-20,1.9682687436619926e-19
0,SOX4,9.273723,,1.797593185708248e-20,2.946874074931554e-19
0,MEG3,9.056445,,1.3477130576894063e-19,2.191403345836433e-18
0,VIM,8.659431,,4.7412497832912505e-18,7.408202786392579e-17
0,RGS2,8.318722,,8.891690642205177e-17,1.357510021710714e-15
0,TUBA1A,8.138717,,3.9948891791619562e-16,6.0528623926696306e-15
0,NCOA7,8.009575,,1.1510590534573144e-15,1.717998587249723e-14
0,PARP14,7.9829965,,1.4282324935411253e-15,2.1158999904312966e-14
0,HSPH1,7.8899245,,3.0236923094838953e-15,4.414149356910796e-14
0,RGL4,7.844979,,4.33027015038634e-15,6.275753841139623e-14
0,BCL11A,7.797628,,6.308159011556059e-15,8.947743278802921e-14
0,MEF2C,7.7641835,,8.217273990822246e-15,1.1573625339186263e-13
0,RPS4Y1,7.717545,,1.1859165629071193e-14,1.6586245635064607e-13
0,BNIP3L,7.706835,,1.2897681475151181e-14,1.791344649326553e-13
0,UTRN,7.591187,,3.169877934816853e-14,4.3722454273335906e-13
0,TYROBP,7.306783,,2.736139052575989e-13,3.709689064332882e-12
0,LAPTM5,7.30634,,2.745169907606333e-13,3.709689064332882e-12
0,SSBP2,7.305296,,2.7665729232576685e-13,3.7135207023592864e-12
0,AFF3,7.2856154,,3.2020563309083003e-13,4.2694084412110674e-12
0,ARID5B,7.0005307,,2.549945132360192e-12,3.311617055013237e-11
0,LAT2,6.673554,,2.4968184734016576e-11,3.121023091752072e-10
0,PPP1R15A,6.667052,,2.6099320784511865e-11,3.242151650249921e-10
0,DUSP1,6.576353,,4.821269426649743e-11,5.915668008159193e-10
0,BBX,6.465626,,1.0088044854512335e-10,1.2302493725015042e-09
0,FOXP1,6.3824577,,1.7426816539391295e-10,2.0996164505290717e-09
0,MARCKS,6.305254,,2.877217677728167e-10,3.4457696739259482e-09
0,TRBC2,6.243285,,4.2847443401798134e-10,5.100886119261682e-09
0,CDKN1C,6.1983395,,5.706199840304168e-10,6.752899219294873e-09
